article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,policy,policy.size,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,time.on.article,PID.pre
con_large_nocue,"about $1,300 a month",reduce,about 1 million,B.A.,female,female,disapprove slightly,no preference,a great deal,"slightly prefer big, long-term projects",neither like nor dislike,like a little,slightly more satisfied than relieved,KY,1986,no_cue,reduce,large,TRUE,FALSE,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,834,Dem
lib_slight_nocue,"about $2,200 a month",expand,"about 50,000",B.A.,male,male,approve slightly,slightly prefer complex problems,a lot,no preference,neither like nor dislike,like a little,relief and satisfaction to the same degree,WA,1948,no_cue,expand,small,FALSE,TRUE,62,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,187,Rep
lib_slight_nocue,"about $1,600 a month",neither,"about 100,000",12th,female,female,approve strongly,greatly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",dislike a lot,neither like nor dislike,slightly more relieved than satisfied,CA,1956,no_cue,expand,small,TRUE,FALSE,54,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,88,Dem
lib_large_nocue,"about $2,200 a month",expand,"about 100,000","M.B.A., M.D., or J.D.",male,male,disapprove slightly,no preference,a lot,no preference,neither like nor dislike,like a little,relief and satisfaction to the same degree,CA,1951,no_cue,expand,large,FALSE,TRUE,59,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,210,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 50,000",12th,female,female,approve somewhat,no preference,a lot,no preference,neither like nor dislike,neither like nor dislike,somewhat more satisfied than relieved,AR,1952,no_cue,expand,small,TRUE,FALSE,58,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,205,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 500,000",12th,male,Male,approve slightly,greatly prefer complex problems,a lot,"slightly prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,MN,1992,no_cue,expand,small,FALSE,TRUE,18,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,45,Rep
con_large_nocue,about $500 a month,reduce,"about 500,000",some college,male,Male,neither approve nor disapprove,no preference,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,like a little,somewhat more satisfied than relieved,HI,1954,no_cue,reduce,large,FALSE,TRUE,56,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,159,Dem
con_slight_Demopp,about $500 a month,reduce,about 1 million,B.A.,female,Female,disapprove somewhat,slightly prefer simple problems,none,"somewhat prefer small, daily projects",dislike a lot,dislike a little,somewhat more relieved than satisfied,CA,1950,Dem_opp,reduce,small,TRUE,FALSE,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,592,Dem
lib_large_nocue,"about $2,200 a month",expand,"about 100,000",some college,female,Female,disapprove slightly,slightly prefer simple problems,a moderate amount,no preference,dislike a little,dislike a little,slightly more relieved than satisfied,CA,1989,no_cue,expand,large,TRUE,FALSE,21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,252,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",NA,female,female,disapprove somewhat,slightly prefer complex problems,a lot,"slightly prefer small, daily projects",like somewhat,like somewhat,somewhat more satisfied than relieved,CA,1950,no_cue,reduce,small,TRUE,FALSE,60,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,247,Rep
con_large_nocue,about $500 a month,reduce,"about 100,000",other advanced degree,female,female,disapprove strongly,greatly prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,GA,1956,no_cue,reduce,large,TRUE,FALSE,54,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,221,Dem
lib_slight_Demopp,"about $2,200 a month",expand,"about 50,000",M.A.,male,Male,approve strongly,somewhat prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like somewhat,like a lot,much more satisfied than relieved,WA,1942,Dem_opp,expand,small,FALSE,TRUE,68,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,105,Dem
lib_slight_nocue,"about $1,300 a month",expand,"about 10,000",some college,male,m,approve somewhat,slightly prefer complex problems,a lot,no preference,dislike a lot,like somewhat,relief and satisfaction to the same degree,CA,1938,no_cue,expand,small,FALSE,TRUE,72,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,195,Dem
lib_slight_nocue,"about $1,600 a month",expand,NA,some college,female,female,approve strongly,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike a lot,neither like nor dislike,relief and satisfaction to the same degree,WI,1950,no_cue,expand,small,TRUE,FALSE,60,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,297,Dem
lib_slight_nocue,"about $2,200 a month",expand,"about 50,000",B.A.,female,female,disapprove slightly,no preference,a lot,no preference,like somewhat,like a lot,somewhat more satisfied than relieved,VA,1975,no_cue,expand,small,TRUE,FALSE,35,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,289,Dem
con_large_Demopp,about $500 a month,reduce,"about 100,000",B.A.,male,male,disapprove strongly,slightly prefer complex problems,a lot,"slightly prefer big, long-term projects",like somewhat,like a little,slightly more satisfied than relieved,CA,1953,Dem_opp,reduce,large,FALSE,TRUE,57,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,471,Dem
con_slight_nocue,"about $2,200 a month",neither,"about 500,000",B.A.,male,Male,neither approve nor disapprove,no preference,a little,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,NV,1966,no_cue,reduce,small,FALSE,TRUE,44,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,103,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 100,000",some college,female,female,neither approve nor disapprove,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike a little,dislike a lot,slightly more satisfied than relieved,AK,1954,Dem_opp,reduce,small,TRUE,FALSE,56,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,46,Rep
con_large_nocue,about $500 a month,reduce,about 1 million,NA,male,male,disapprove strongly,greatly prefer complex problems,a great deal,no preference,neither like nor dislike,like a lot,much more satisfied than relieved,MI,1951,no_cue,reduce,large,FALSE,TRUE,59,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,232,Dem
con_slight_nocue,"about $1,000 a month",reduce,"about 10,000",some college,female,female,disapprove strongly,slightly prefer simple problems,a lot,"slightly prefer small, daily projects",dislike a lot,neither like nor dislike,relief and satisfaction to the same degree,MN,1948,no_cue,reduce,small,TRUE,FALSE,62,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,365,Dem
lib_large_Demopp,"about $2,200 a month",expand,"about 100,000",some college,female,female,approve slightly,slightly prefer complex problems,a lot,"somewhat prefer big, long-term projects",like somewhat,like somewhat,relief and satisfaction to the same degree,SC,1949,Dem_opp,expand,large,TRUE,FALSE,61,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,256,Rep
lib_slight_Demopp,"about $2,200 a month",neither,"about 100,000",B.A.,male,male,approve somewhat,somewhat prefer complex problems,a great deal,"slightly prefer small, daily projects",neither like nor dislike,like a lot,relief and satisfaction to the same degree,IL,1943,Dem_opp,expand,small,FALSE,TRUE,67,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,586,Dem
con_large_nocue,about $500 a month,reduce,"about 500,000",B.A.,female,female,disapprove strongly,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",neither like nor dislike,like a lot,much more satisfied than relieved,CA,1952,no_cue,reduce,large,TRUE,FALSE,58,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,207,Dem
lib_large_Demopp,"about $2,200 a month",expand,"about 100,000",some college,male,Male,approve somewhat,no preference,a moderate amount,no preference,like somewhat,like somewhat,relief and satisfaction to the same degree,MI,1948,Dem_opp,expand,large,FALSE,TRUE,62,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,293,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",some college,male,Male,disapprove slightly,no preference,a great deal,"greatly prefer big, long-term projects",dislike a little,neither like nor dislike,somewhat more satisfied than relieved,OR,1991,no_cue,reduce,small,FALSE,TRUE,19,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,253,Dem
lib_slight_Demopp,"about $1,300 a month",expand,about 1 million,some college,female,Female,approve somewhat,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",neither like nor dislike,like somewhat,somewhat more satisfied than relieved,KS,1959,Dem_opp,expand,small,TRUE,FALSE,51,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,226,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",some college,female,female,disapprove strongly,somewhat prefer complex problems,a great deal,"greatly prefer big, long-term projects",like a little,like a little,much more satisfied than relieved,WA,1951,no_cue,reduce,small,TRUE,FALSE,59,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,85,Dem
con_slight_nocue,"about $1,000 a month",reduce,"about 100,000",B.A.,male,male,disapprove strongly,somewhat prefer complex problems,a lot,"somewhat prefer small, daily projects",dislike a little,like a lot,somewhat more relieved than satisfied,MT,1967,no_cue,reduce,small,FALSE,TRUE,43,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,1444,Rep
lib_slight_Demopp,"about $1,300 a month",reduce,"about 100,000",some college,male,Male,disapprove strongly,greatly prefer complex problems,a great deal,no preference,neither like nor dislike,like a lot,much more satisfied than relieved,NJ,1951,Dem_opp,expand,small,FALSE,TRUE,59,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,325,Dem
con_slight_Demopp,"about $1,600 a month",reduce,"about 100,000",B.A.,female,female,disapprove somewhat,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,slightly more relieved than satisfied,CA,1955,Dem_opp,reduce,small,TRUE,FALSE,55,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,100,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",M.A.,male,male,disapprove strongly,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like somewhat,like a lot,relief and satisfaction to the same degree,VA,1935,no_cue,reduce,small,FALSE,TRUE,75,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,291,Dem
con_slight_nocue,"about $1,600 a month",expand,"about 100,000",B.A.,female,female,approve slightly,no preference,a lot,"slightly prefer small, daily projects",dislike a little,like somewhat,slightly more relieved than satisfied,WI,1951,no_cue,reduce,small,TRUE,FALSE,59,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,231,Dem
lib_slight_nocue,"about $2,200 a month",reduce,"about 50,000",some college,female,female,disapprove slightly,greatly prefer complex problems,a great deal,"greatly prefer small, daily projects",neither like nor dislike,like a lot,somewhat more relieved than satisfied,WA,1979,no_cue,expand,small,TRUE,FALSE,31,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,145,Dem
lib_slight_nocue,"about $1,000 a month",expand,"about 10,000",some college,male,male,neither approve nor disapprove,no preference,a lot,"slightly prefer small, daily projects",dislike a little,neither like nor dislike,relief and satisfaction to the same degree,CA,1946,no_cue,expand,small,FALSE,TRUE,64,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,89,Dem
lib_large_Demopp,"about $2,200 a month",reduce,"about 100,000",some college,male,Male,approve slightly,somewhat prefer complex problems,a moderate amount,no preference,dislike a lot,neither like nor dislike,somewhat more satisfied than relieved,HI,1941,Dem_opp,expand,large,FALSE,TRUE,69,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,176,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 100,000",12th,male,male,approve strongly,greatly prefer simple problems,a great deal,"slightly prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,OH,1953,no_cue,expand,small,FALSE,TRUE,57,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,336,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",some college,female,female,approve somewhat,slightly prefer complex problems,a lot,"slightly prefer big, long-term projects",like a little,like a little,slightly more satisfied than relieved,GA,1947,no_cue,reduce,small,TRUE,FALSE,63,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,159,Rep
con_slight_Demopp,"about $1,000 a month",neither,"about 100,000",some college,female,female,neither approve nor disapprove,no preference,a little,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,GA,1987,Dem_opp,reduce,small,TRUE,FALSE,23,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,21,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",B.A.,female,female,disapprove somewhat,no preference,a great deal,"slightly prefer small, daily projects",like somewhat,like somewhat,somewhat more satisfied than relieved,FL,1943,no_cue,reduce,small,TRUE,FALSE,67,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,453,Rep
con_slight_Demopp,"about $1,300 a month",expand,NA,B.A.,female,female,disapprove strongly,no preference,a little,no preference,dislike a little,like somewhat,slightly more relieved than satisfied,MD,1944,Dem_opp,reduce,small,TRUE,FALSE,66,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,293,Dem
lib_slight_nocue,"about $2,200 a month",expand,"about 100,000",some college,male,Male,neither approve nor disapprove,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,slightly more satisfied than relieved,VA,1942,no_cue,expand,small,FALSE,TRUE,68,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,181,Rep
con_slight_nocue,"about $1,300 a month",neither,"about 50,000",12th,male,Male,disapprove slightly,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",neither like nor dislike,like a little,relief and satisfaction to the same degree,CA,1956,no_cue,reduce,small,FALSE,TRUE,54,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,287,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 10,000",B.A.,female,female,approve somewhat,slightly prefer complex problems,a moderate amount,no preference,like a little,like somewhat,somewhat more satisfied than relieved,ND,1948,no_cue,expand,small,TRUE,FALSE,62,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,414,Rep
lib_slight_nocue,"about $1,300 a month",expand,"about 500,000",NA,female,female,disapprove somewhat,somewhat prefer simple problems,a little,"slightly prefer small, daily projects",dislike a lot,dislike a lot,slightly more relieved than satisfied,IN,1961,no_cue,expand,small,TRUE,FALSE,49,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,90,Rep
con_slight_Demopp,"about $1,600 a month",reduce,about 1 million,B.A.,male,m,approve strongly,somewhat prefer complex problems,a moderate amount,"somewhat prefer big, long-term projects",like somewhat,like somewhat,much more satisfied than relieved,NY,1970,Dem_opp,reduce,small,FALSE,TRUE,40,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,190,Dem
con_large_Demopp,about $500 a month,reduce,"about 100,000",NA,female,female,disapprove somewhat,slightly prefer complex problems,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,dislike a little,somewhat more relieved than satisfied,NC,1960,Dem_opp,reduce,large,TRUE,FALSE,50,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,222,Rep
lib_slight_nocue,"about $1,600 a month",expand,NA,some college,female,female,approve strongly,somewhat prefer complex problems,a great deal,"slightly prefer small, daily projects",like a lot,like somewhat,much more satisfied than relieved,CA,1979,no_cue,expand,small,TRUE,FALSE,31,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,139,Dem
con_slight_nocue,"about $1,300 a month",expand,"about 10,000",some college,female,female,disapprove somewhat,greatly prefer simple problems,a moderate amount,"greatly prefer small, daily projects",dislike somewhat,dislike a lot,much more relieved than satisfied,CA,1950,no_cue,reduce,small,TRUE,FALSE,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,314,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",B.A.,female,female,disapprove strongly,greatly prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like a lot,like a lot,slightly more relieved than satisfied,AK,1952,no_cue,reduce,small,TRUE,FALSE,58,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,271,Dem
lib_slight_nocue,"about $2,200 a month",neither,"about 100,000",NA,male,Male,approve strongly,slightly prefer complex problems,a great deal,"slightly prefer big, long-term projects",neither like nor dislike,like a little,slightly more relieved than satisfied,MI,1950,no_cue,expand,small,FALSE,TRUE,60,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,155,Dem
